"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
52.895,34.3636,44,77,385,96,109,52.895,41.8893,1,0.65,
52.895,36.6584,45,78,390,97,111,52.895,41.8893,1,0.65,
52.895,38.7681,38,79,395,98,112,52.895,41.8893,1,0.65,
52.895,38.7681,60,80,400,99,113,52.895,41.8893,2,0.65,
52.895,10.1499,39.5,81,405,101,114,52.895,41.8893,2,0.65,
52.895,10.1499,42,82,410,102,116,52.895,41.8893,1,0.65,
52.895,10.6917,31.5,83,415,103,117,52.895,41.8893,2,0.65,
52.895,10.1499,30.5,84,420,104,118,52.895,41.8893,1,0.65,
52.895,13.3405,31.5,85,425,106,119,52.895,41.8893,1,0.65,
52.895,13.944,38,86,430,107,121,52.895,41.8893,2,0.65,
52.895,13.944,40,87,435,108,122,52.895,41.8893,1,0.65,
52.895,11.2188,46.5,88,440,109,123,52.895,41.8893,1,0.65,
52.895,14.5264,41.5,89,445,111,124,52.895,41.8893,1,0.65,
52.895,19.6308,43.5,90,450,112,126,52.895,17.2429,1,0.65,
52.895,61.8958,12,91,455,113,127,52.895,17.2429,1,0.65,
52.895,64.9839,23,92,460,114,128,52.895,17.2429,2,0.65,
52.895,61.8958,16.5,93,465,116,129,52.895,17.2429,2,0.65,
52.895,61.8958,22,94,470,117,131,52.895,17.2429,2,0.65,
52.895,58.9178,41.5,95,475,118,132,52.895,17.2429,2,0.65,
52.895,58.9178,52,96,480,119,133,66.5358,17.2429,2,0.8,
52.895,49.5295,31.5,97,485,121,134,66.5358,17.2429,2,0.8,
52.895,46.8146,20,98,490,122,136,66.5358,17.2429,2,0.8,
52.895,46.8146,37,99,495,123,137,66.5358,17.2429,2,0.8,
52.895,41.8893,39.5,100,500,124,138,66.5358,17.2429,2,0.8,
52.895,41.8893,48.5,101,505,126,139,66.5358,17.2429,2,0.8,
52.895,39.4283,37.5,102,510,127,141,66.5358,17.2429,2,0.8,
52.895,39.4283,40,103,515,128,142,66.5358,17.2429,1,0.8,
52.895,41.8893,25,104,520,129,143,66.5358,17.2429,2,0.8,
52.895,41.8893,41,105,525,131,144,66.5358,17.2429,2,0.8,
52.895,41.8893,42,106,530,132,146,66.5358,17.2429,2,0.8,
52.895,41.8893,45.5,107,535,133,147,66.5358,17.2429,1,0.8,
52.895,44.5382,34,108,540,134,148,66.5358,17.2429,2,0.8,
52.895,44.5382,33.5,109,545,136,149,66.5358,17.2429,2,0.8,
52.895,44.5382,11.5,110,550,137,151,66.5358,17.2429,2,0.8,
52.895,44.5382,44,111,555,138,152,66.5358,17.2429,1,0.8,
52.895,49.5295,36.5,112,560,139,153,66.5358,52.895,2,0.8,
52.895,49.5295,25,113,565,141,154,66.5358,52.895,2,0.8,
52.895,49.5295,25.5,114,570,142,156,66.5358,52.895,2,0.8,
52.895,49.5295,33.5,115,575,143,157,66.5358,52.895,2,0.8,
52.895,49.5295,30,116,580,144,158,66.5358,52.895,1,0.8,
52.895,52.4449,37.5,117,585,146,159,66.5358,52.895,2,0.8,
52.895,52.4449,36,118,590,147,161,66.5358,52.895,1,0.8,
66.5358,55.4758,40,119,595,148,162,66.5358,52.895,2,0.8,
66.5358,55.4758,33,120,600,149,163,66.5358,52.895,1,0.8,
66.5358,64.9839,53,121,605,151,164,66.5358,52.895,1,0.8,
66.5358,67.2969,31,122,610,152,166,66.5358,52.895,2,0.8,
66.5358,67.2969,40.5,123,615,153,167,66.5358,52.895,1,0.8,
66.5358,79.3836,63.5,124,620,154,168,66.5358,52.895,2,0.8,
66.5358,77.7343,48.5,125,625,156,169,66.5358,52.895,1,0.8,
66.5358,79.3836,36,126,630,157,171,66.5358,52.895,2,0.8,
66.5358,79.3836,64,127,635,158,172,66.5358,52.895,2,0.8,
66.5358,79.3836,43,128,640,159,173,66.5358,52.895,2,0.8,
66.5358,79.3836,49,129,645,161,174,66.5358,52.895,2,0.8,
66.5358,79.3836,49,130,650,162,176,66.5358,52.895,2,0.8,
66.5358,77.7343,45.5,131,655,163,177,66.5358,52.895,2,0.8,
66.5358,64.9839,47,132,660,164,178,66.5358,52.895,2,0.8,
66.5358,64.9839,36.5,133,665,166,179,66.5358,52.895,2,0.8,
66.5358,64.9839,40.5,134,670,167,181,66.5358,52.895,2,0.8,
66.5358,64.9839,39.5,135,675,168,182,66.5358,66.5358,2,0.8,
66.5358,61.8958,52.5,136,680,169,183,66.5358,66.5358,2,0.8,
66.5358,61.8958,40,137,685,171,184,66.5358,66.5358,2,0.8,
66.5358,61.8958,40,138,690,172,186,66.5358,66.5358,2,0.8,
66.5358,64.9839,30,139,695,173,187,66.5358,66.5358,2,0.8,
66.5358,64.9839,72.5,140,700,174,188,66.5358,66.5358,2,0.8,
66.5358,55.4758,47,141,705,176,189,66.5358,66.5358,2,0.8,
66.5358,56.489,48.5,142,710,177,191,66.5358,66.5358,2,0.8,
66.5358,56.489,46,143,715,178,192,66.5358,66.5358,2,0.8,
66.5358,56.489,29.5,144,720,179,193,66.5358,66.5358,2,0.8,
66.5358,56.489,36,145,725,181,194,66.5358,66.5358,2,0.8,
66.5358,56.489,46,146,730,182,196,66.5358,66.5358,2,0.8,
66.5358,55.2555,29,147,735,183,197,66.5358,66.5358,2,0.8,
66.5358,55.2555,58,148,740,184,198,66.5358,66.5358,1,0.8,
66.5358,55.2555,58,149,745,186,199,66.5358,66.5358,2,0.8,
66.5358,55.2555,47,150,750,187,201,66.5358,66.5358,2,0.8,
