"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
-70.7273,-33.7961,,269,,336,349,-52.7627,,1,0.65,
-70.7273,-33.1393,,270,,337,351,-52.7627,,2,0.65,
-70.7273,-33.1393,,271,,338,352,-52.7627,,2,0.65,
-70.7273,-48.1642,,272,,339,353,-52.7627,,2,0.65,
-70.7273,-48.1642,,273,,341,354,-52.7627,,2,0.65,
-70.7273,-48.1642,,274,,342,356,-52.7627,,1,0.65,
-70.7273,-46.7436,,275,,343,357,-52.7627,,2,0.65,
-70.7273,-48.1642,,276,,344,358,-52.7627,,1,0.65,
-70.7273,-46.7436,,277,,346,359,-52.7627,,2,0.65,
-70.7273,-48.1642,,278,,347,361,-52.7627,,2,0.65,
-70.7273,-49.6402,,279,,348,362,-52.7627,,1,0.65,
-70.7273,-47.9707,,280,,349,363,-52.7627,,2,0.65,
-70.7273,-49.6402,,281,,351,364,-52.7627,,2,0.65,
-70.7273,-51.3081,,282,,352,366,-52.7627,,1,0.65,
-70.7273,-57.0363,,283,,353,367,-52.7627,,2,0.65,
-70.7273,-57.0363,,284,,354,368,-52.7627,,2,0.65,
-70.7273,-57.0363,,285,,356,369,-52.7627,,2,0.65,
-70.7273,-57.0363,,286,,357,371,-52.7627,,1,0.65,
-70.7273,-55.445,,287,,358,372,-52.7627,,2,0.65,
-70.7273,-55.445,,288,,359,373,-52.7627,,1,0.65,
-70.7273,-53.8496,,289,,361,374,-52.7627,,2,0.65,
-70.7273,-57.7253,,290,,362,376,-52.7627,,2,0.65,
-70.7273,-57.7253,,291,,363,377,-52.7627,,1,0.65,
-70.7273,-57.7253,,292,,364,378,-52.7627,,2,0.65,
-70.7273,-57.7253,,293,,366,379,-52.7627,,2,0.65,
-70.7273,-57.7253,,294,,367,381,-52.7627,,2,0.65,
-70.7273,-81.5361,,295,,368,382,-52.7627,,1,0.65,
-70.7273,-52.2506,,296,,369,383,-52.7627,,2,0.65,
-70.7273,-52.2506,,297,,371,384,-52.7627,,2,0.65,
-70.7273,-52.2506,,298,,372,386,-52.7627,,2,0.65,
-70.7273,-52.2506,,299,,373,387,-52.7627,,1,0.65,
-70.7273,-46.3058,,300,,374,388,-52.7627,,2,0.65,
-70.7273,-46.3058,,301,,376,389,-52.7627,,1,0.65,
-70.7273,-44.6753,,302,,377,391,-52.7627,,2,0.65,
-70.7273,-44.6753,,303,,378,392,-52.7627,,2,0.65,
-70.7273,-44.6753,,304,,379,393,-52.7627,,1,0.65,
-70.7273,-43.174,,305,,381,394,-52.7627,,1,0.65,
-70.7273,-43.174,,306,,382,396,-52.7627,,1,0.65,
-70.7273,-31.6099,,307,,383,397,-52.7627,,2,0.65,
-70.7273,-32.4902,,308,,384,398,-52.7627,,2,0.65,
-70.7273,-31.3793,,309,,386,399,-52.7627,,2,0.65,
-70.7273,-31.3793,,310,,387,401,-52.7627,,2,0.65,
