"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
15.7478,35.4266,31.5,83,415,103,117,15.7478,32.6603,1,0.35,
15.7478,39.8018,40,84,420,104,118,15.7478,32.6603,2,0.35,
15.7478,37.1967,31,85,425,106,119,15.7478,32.6603,1,0.35,
15.7478,40.0717,34.5,86,430,107,121,15.7478,32.6603,1,0.35,
15.7478,44.0044,34,87,435,108,122,15.7478,32.6603,2,0.35,
15.7478,44.0044,38,88,440,109,123,15.7478,32.6603,1,0.35,
15.7478,44.0044,34,89,445,111,124,15.7478,70.5345,1,0.35,
15.7478,50.7369,35,90,450,112,126,15.7478,70.5345,1,0.35,
15.7478,50.7369,41.5,91,455,113,127,15.7478,70.5345,2,0.35,
15.7478,50.7369,30.5,92,460,114,128,15.7478,70.5345,2,0.35,
15.7478,50.7369,35.5,93,465,116,129,15.7478,70.5345,1,0.35,
15.7478,63.1737,13.5,94,470,117,131,15.7478,70.5345,2,0.35,
15.7478,49.2478,25,95,475,118,132,15.7478,70.5345,2,0.35,
15.7478,49.2478,47,96,480,119,133,15.7478,70.5345,2,0.35,
15.7478,49.2478,35.5,97,485,121,134,49.5727,70.5345,2,0.65,
15.7478,42.0695,42,98,490,122,136,49.5727,70.5345,2,0.65,
15.7478,43.4113,15,99,495,123,137,49.5727,70.5345,2,0.65,
15.7478,43.4113,38.5,100,500,124,138,49.5727,70.5345,2,0.65,
15.7478,43.4113,35,101,505,126,139,49.5727,70.5345,1,0.65,
15.7478,44.0044,27.5,102,510,127,141,49.5727,70.5345,2,0.65,
15.7478,44.0044,35.5,103,515,128,142,49.5727,70.5345,1,0.65,
15.7478,51.459,37.5,104,520,129,143,49.5727,70.5345,2,0.65,
15.7478,53.0135,8,105,525,131,144,49.5727,70.5345,2,0.65,
15.7478,51.459,21,106,530,132,146,49.5727,70.5345,1,0.65,
15.7478,42.9106,25,107,535,133,147,49.5727,-5.214,2,0.65,
