"omCrit","estCrit","obsCrit","trial","OvTrial","wind","CovOmCrit","OvOmCrit",
-80.4077,-85.7855,-59,79,395,112,-101.4581,-71.0078,
-80.4077,-88.5633,-56.5,80,400,113,-101.4581,-71.0078,
-80.4077,-87.5606,-58,81,405,114,-101.4581,-71.0078,
-80.4077,-87.5606,-62,82,410,116,-101.4581,-71.0078,
-80.4077,-91.8236,-64.5,83,415,117,-101.4581,-71.0078,
-80.4077,-99.8421,-63.5,84,420,118,-101.4581,-71.0078,
-80.4077,-99.8421,-56.5,85,425,119,-101.4581,-71.0078,
-80.4077,-99.8421,-60,86,430,121,-101.4581,-71.0078,
-80.4077,-99.8421,-65,87,435,122,-101.4581,-71.0078,
-80.4077,-99.8421,-56.5,88,440,123,-101.4581,-71.0078,
-80.4077,-97.495,-67.5,89,445,124,-101.4581,-71.0078,
-101.4581,-97.495,-56,90,450,126,-101.4581,-71.0078,
-101.4581,-97.495,-54,91,455,127,-101.4581,-71.0078,
-101.4581,-92.0118,-44.5,92,460,128,-101.4581,-80.4077,
-101.4581,-92.0118,-41,93,465,129,-101.4581,-80.4077,
-101.4581,-89.4231,-41.5,94,470,131,-101.4581,-80.4077,
-101.4581,-89.4231,-43.5,95,475,132,-101.4581,-80.4077,
-101.4581,-89.4231,-48,96,480,133,-101.4581,-80.4077,
-101.4581,-92.0118,-49,97,485,134,-101.4581,-80.4077,
-101.4581,-92.0118,-50,98,490,136,-101.4581,-80.4077,
-101.4581,-92.0118,-50.5,99,495,137,-101.4581,-80.4077,
-101.4581,-73.4012,-49.5,100,500,138,-101.4581,-80.4077,
-101.4581,-73.4012,-50,101,505,139,-101.4581,-80.4077,
-101.4581,-73.4012,-44.5,102,510,141,-101.4581,-80.4077,
-101.4581,-73.4012,-63,103,515,142,-101.4581,-80.4077,
-101.4581,-73.4012,-59,104,520,143,-101.4581,-80.4077,
-101.4581,-73.9037,-58,105,525,144,-101.4581,-80.4077,
-101.4581,-73.4012,-53.5,106,530,146,-101.4581,-80.4077,
-101.4581,-73.4012,-52,107,535,147,-101.4581,-80.4077,
-101.4581,-73.4012,-47,108,540,148,-101.4581,-80.4077,
-101.4581,-81.5667,-52.5,109,545,149,-101.4581,-80.4077,
-101.4581,-81.5667,-53.5,110,550,151,-101.4581,-80.4077,
-101.4581,-81.5667,-54.5,111,555,152,-101.4581,-80.4077,
-101.4581,-81.5667,-54.5,112,560,153,-101.4581,-80.4077,
-101.4581,-81.5667,-49.5,113,565,154,-101.4581,-80.4077,
-101.4581,-81.5667,-61.5,114,570,156,-101.4581,-80.4077,
-101.4581,-81.5667,-53.5,115,575,157,-101.4581,-101.4581,
-101.4581,-108,-70,116,580,158,-101.4581,-101.4581,
-101.4581,-108,-71.5,117,585,159,-101.4581,-101.4581,
-101.4581,-108,-72.5,118,590,161,-101.4581,-101.4581,
-101.4581,-108,-77,119,595,162,-101.4581,-101.4581,
-101.4581,-108,-68.5,120,600,163,-101.4581,-101.4581,
-101.4581,-108,-68,121,605,164,-101.4581,-101.4581,
