"omCrit","estCrit","obsCrit","trial","OvTrial","wind","CovOmCrit","OvOmCrit",
70.1929,102.1101,134.5,93,465,129,103.6955,116.5139,
70.1929,108.9902,92,94,470,131,103.6955,116.5139,
70.1929,107.2882,90.5,95,475,132,103.6955,116.5139,
70.1929,107.2882,107.5,96,480,133,103.6955,116.5139,
70.1929,107.2882,93,97,485,134,103.6955,116.5139,
70.1929,107.2882,117.5,98,490,136,103.6955,116.5139,
70.1929,105.3704,96.5,99,495,137,103.6955,116.5139,
70.1929,96.9569,130.5,100,500,138,103.6955,116.5139,
70.1929,103.4476,105,101,505,139,103.6955,116.5139,
70.1929,101.5127,134,102,510,141,103.6955,70.1929,
70.1929,101.5127,97,103,515,142,103.6955,70.1929,
70.1929,103.4476,89,104,520,143,103.6955,70.1929,
70.1929,103.4476,80,105,525,144,103.6955,70.1929,
70.1929,97.568,87,106,530,146,103.6955,70.1929,
70.1929,97.568,85.5,107,535,147,103.6955,70.1929,
103.6955,95.45,121,108,540,148,103.6955,70.1929,
103.6955,97.568,112,109,545,149,103.6955,70.1929,
103.6955,91.2137,75,110,550,151,103.6955,70.1929,
103.6955,91.2137,68,111,555,152,103.6955,70.1929,
103.6955,91.2137,88,112,560,153,103.6955,70.1929,
103.6955,91.2137,93.5,113,565,154,103.6955,70.1929,
103.6955,86.8241,80.5,114,570,156,103.6955,70.1929,
103.6955,86.8241,64,115,575,157,103.6955,70.1929,
103.6955,86.0996,112.5,116,580,158,103.6955,70.1929,
103.6955,86.0996,80.5,117,585,159,103.6955,70.1929,
103.6955,88.1817,73.5,118,590,161,103.6955,70.1929,
103.6955,88.1817,86.5,119,595,162,103.6955,70.1929,
103.6955,88.1817,71.5,120,600,163,103.6955,70.1929,
103.6955,73.386,88.5,121,605,164,103.6955,70.1929,
103.6955,72.0333,82,122,610,166,103.6955,83.0112,
103.6955,72.0333,82.5,123,615,167,103.6955,83.0112,
103.6955,73.386,80,124,620,168,103.6955,83.0112,
103.6955,73.8374,80,125,625,169,103.6955,83.0112,
103.6955,72.7807,101,126,630,171,103.6955,83.0112,
103.6955,72.7807,86,127,635,172,103.6955,83.0112,
103.6955,71.7238,95.5,128,640,173,103.6955,83.0112,
103.6955,90.7934,99,129,645,174,103.6955,83.0112,
103.6955,88.3797,76.5,130,650,176,103.6955,83.0112,
103.6955,88.3797,72.5,131,655,177,103.6955,83.0112,
103.6955,90.7934,76.5,132,660,178,103.6955,83.0112,
103.6955,90.7934,76,133,665,179,103.6955,83.0112,
103.6955,90.7934,61,134,670,181,103.6955,83.0112,
103.6955,88.3797,82,135,675,182,103.6955,83.0112,
103.6955,88.3797,92.5,136,680,183,103.6955,83.0112,
103.6955,88.3797,83.5,137,685,184,103.6955,83.0112,
103.6955,87.0852,112.5,138,690,186,103.6955,83.0112,
103.6955,91.8675,66.5,139,695,187,103.6955,83.0112,
103.6955,91.5488,93.5,140,700,188,103.6955,83.0112,
103.6955,90.0182,100,141,705,189,103.6955,83.0112,
103.6955,89.0046,95.5,142,710,191,103.6955,83.0112,
103.6955,89.0046,108,143,715,192,103.6955,83.0112,
103.6955,87.7071,79.5,144,720,193,103.6955,83.0112,
103.6955,87.1784,99,145,725,194,103.6955,83.0112,
103.6955,88.5678,89,146,730,196,103.6955,103.6955,
103.6955,88.5678,65,147,735,197,103.6955,103.6955,
103.6955,88.5678,97,148,740,198,103.6955,103.6955,
103.6955,91.1029,102.5,149,745,199,103.6955,103.6955,
103.6955,91.8779,85,150,750,201,103.6955,103.6955,
103.6955,90.4155,103.5,151,755,202,103.6955,103.6955,
103.6955,92.3214,107.5,152,760,203,103.6955,103.6955,
103.6955,87.9318,106.5,153,765,204,103.6955,103.6955,
103.6955,86.1301,107,154,770,206,103.6955,103.6955,
103.6955,88.9862,84,155,775,207,103.6955,103.6955,
103.6955,87.6272,89,156,780,208,103.6955,103.6955,
103.6955,86.779,90.5,157,785,209,103.6955,103.6955,
103.6955,89.2753,89,158,790,211,103.6955,103.6955,
103.6955,89.2753,85.5,159,795,212,103.6955,103.6955,
103.6955,89.2753,78,160,800,213,103.6955,103.6955,
103.6955,89.2753,93,161,805,214,83.0112,103.6955,
103.6955,90.4012,64.5,162,810,216,83.0112,103.6955,
103.6955,90.4012,127.5,163,815,217,83.0112,103.6955,
103.6955,91.6617,92.5,164,820,218,83.0112,103.6955,
103.6955,91.6617,107,165,825,219,83.0112,93.3534,
103.6955,94.9969,94.5,166,830,221,83.0112,93.3534,
103.6955,94.9969,69.5,167,835,222,83.0112,93.3534,
103.6955,96.5947,71.5,168,840,223,83.0112,93.3534,
103.6955,96.5947,83,169,845,224,83.0112,93.3534,
103.6955,94.9969,107.5,170,850,226,83.0112,93.3534,
103.6955,95.158,113,171,855,227,83.0112,93.3534,
103.6955,93.5805,105.5,172,860,228,83.0112,93.3534,
103.6955,91.6802,134.5,173,865,229,83.0112,93.3534,
103.6955,91.6802,100,174,870,231,83.0112,93.3534,
103.6955,93.3534,105,175,875,232,83.0112,93.3534,
103.6955,94.9969,69,176,880,233,83.0112,93.3534,
103.6955,96.5947,90,177,885,234,83.0112,93.3534,
103.6955,104.3972,86.5,178,890,236,83.0112,93.3534,
