"omCrit","estCrit","obsCrit","trial","OvTrial","CovTrial","wind","CovOmCrit","OvOmCrit","CovResponse","Cov_pA",
83.0461,65.4443,64.5,83,415,103,117,70.8248,51.1039,1,0.65,
83.0461,65.4443,69.5,84,420,104,118,70.8248,51.1039,2,0.65,
83.0461,66.4502,61,85,425,106,119,70.8248,51.1039,1,0.65,
83.0461,70.0413,63.5,86,430,107,121,70.8248,51.1039,2,0.65,
83.0461,65.9555,61.5,87,435,108,122,70.8248,51.1039,1,0.65,
83.0461,70.0413,66.5,88,440,109,123,70.8248,51.1039,1,0.65,
83.0461,70.6353,43,89,445,111,124,70.8248,51.1039,2,0.65,
83.0461,71.5035,50,90,450,112,126,70.8248,51.1039,1,0.65,
83.0461,71.9245,75,91,455,113,127,70.8248,51.1039,2,0.65,
83.0461,71.9245,66.5,92,460,114,128,70.8248,51.1039,1,0.65,
83.0461,80.2058,67,93,465,116,129,70.8248,51.1039,2,0.65,
83.0461,81.1805,68,94,470,117,131,70.8248,51.1039,2,0.65,
83.0461,81.351,50,95,475,118,132,70.8248,51.1039,2,0.65,
83.0461,81.351,67.5,96,480,119,133,70.8248,51.1039,2,0.65,
83.0461,79.7029,47.5,97,485,121,134,70.8248,51.1039,2,0.65,
70.8248,79.7029,51,98,490,122,136,70.8248,38.8825,2,0.65,
70.8248,80.2058,43.5,99,495,123,137,70.8248,38.8825,1,0.65,
70.8248,80.2058,50,100,500,124,138,70.8248,38.8825,2,0.65,
70.8248,78.8999,46.5,101,505,126,139,70.8248,38.8825,2,0.65,
70.8248,76.0853,71.5,102,510,127,141,70.8248,38.8825,2,0.65,
70.8248,67.8803,64.5,103,515,128,142,70.8248,38.8825,2,0.65,
70.8248,60.9643,49.5,104,520,129,143,70.8248,38.8825,2,0.65,
70.8248,60.9643,51,105,525,131,144,70.8248,38.8825,2,0.65,
70.8248,56.6933,37,106,530,132,146,70.8248,38.8825,2,0.65,
70.8248,61.9483,40.5,107,535,133,147,70.8248,38.8825,1,0.65,
70.8248,61.9483,54,108,540,134,148,70.8248,38.8825,2,0.65,
70.8248,61.9483,24,109,545,136,149,70.8248,38.8825,1,0.65,
70.8248,61.9483,40,110,550,137,151,70.8248,38.8825,1,0.65,
70.8248,66.1334,52,111,555,138,152,70.8248,38.8825,2,0.65,
70.8248,67.8511,37,112,560,139,153,70.8248,38.8825,2,0.65,
70.8248,63.7653,31,113,565,141,154,70.8248,38.8825,2,0.65,
70.8248,63.7653,25,114,570,142,156,70.8248,38.8825,2,0.65,
70.8248,63.7653,37,115,575,143,157,70.8248,38.8825,2,0.65,
70.8248,62.3711,29,116,580,144,158,70.8248,38.8825,2,0.65,
70.8248,60.9643,32.5,117,585,146,159,70.8248,38.8825,2,0.65,
70.8248,59.5575,38,118,590,147,161,70.8248,38.8825,2,0.65,
70.8248,59.5575,25,119,595,148,162,70.8248,38.8825,2,0.65,
70.8248,57.6151,18,120,600,149,163,70.8248,38.8825,1,0.65,
70.8248,58.8186,52,121,605,151,164,70.8248,38.8825,2,0.65,
70.8248,58.8186,71.5,122,610,152,166,70.8248,83.0461,2,0.65,
70.8248,55.0769,66,123,615,153,167,70.8248,83.0461,1,0.65,
70.8248,55.0769,84.5,124,620,154,168,70.8248,83.0461,1,0.65,
70.8248,55.0769,84.5,125,625,156,169,70.8248,83.0461,1,0.65,
70.8248,55.0769,84,126,630,157,171,70.8248,83.0461,1,0.65,
70.8248,55.0769,81.5,127,635,158,172,70.8248,83.0461,1,0.65,
70.8248,56.3905,78.5,128,640,159,173,70.8248,83.0461,2,0.65,
70.8248,56.3905,83,129,645,161,174,70.8248,83.0461,1,0.65,
70.8248,60.0634,80.5,130,650,162,176,70.8248,83.0461,2,0.65,
70.8248,57.8739,73.5,131,655,163,177,70.8248,83.0461,1,0.65,
70.8248,57.8739,67,132,660,164,178,70.8248,83.0461,2,0.65,
70.8248,57.8739,67.5,133,665,166,179,70.8248,83.0461,1,0.65,
70.8248,57.8739,58,134,670,167,181,70.8248,83.0461,2,0.65,
70.8248,56.4017,63.5,135,675,168,182,70.8248,83.0461,2,0.65,
70.8248,48.9514,66,136,680,169,183,70.8248,83.0461,1,0.65,
70.8248,50.4349,65,137,685,171,184,70.8248,83.0461,2,0.65,
70.8248,48.7766,64,138,690,172,186,70.8248,83.0461,2,0.65,
70.8248,48.7766,71.5,139,695,173,187,70.8248,83.0461,1,0.65,
70.8248,48.7766,94,140,700,174,188,70.8248,83.0461,1,0.65,
70.8248,48.7766,72,141,705,176,189,70.8248,83.0461,1,0.65,
70.8248,48.7766,74,142,710,177,191,70.8248,83.0461,2,0.65,
70.8248,47.2088,63,143,715,178,192,70.8248,83.0461,1,0.65,
70.8248,47.2088,65.5,144,720,179,193,70.8248,51.1039,2,0.65,
70.8248,53.6457,62,145,725,181,194,70.8248,51.1039,2,0.65,
70.8248,52.3985,74.5,146,730,182,196,70.8248,51.1039,1,0.65,
70.8248,52.6154,97,147,735,183,197,70.8248,51.1039,1,0.65,
